#      n_Li         E_nn       E_site            f          f_I          D_t       D_c oll       n_oct        n_tet

# E_nn = 0.0 E_site = 0.0
        448          1.0          3.0        0.346        0.901    1.639E-08    4.268E-08       269.08       178.92
        480          1.0          3.0        0.320        0.942    1.256E-08    3.701E-08       299.07       180.93
        512          1.0          3.0        0.297        0.948    8.478E-09    2.710E-08       328.24       183.76
        544          1.0          3.0        0.274        0.988    4.218E-09    1.519E-08       356.56       187.44
        575          1.0          3.0        0.251        0.991    1.278E-10    5.056E-10       383.16       191.84

# E_nn = 1.0 E_site = 4.0
          1          1.0          4.0        0.991        0.991    3.305E-08    3.305E-08         0.04         0.96
         32          1.0          4.0        0.875        0.939    2.646E-08    2.840E-08         1.09        30.91
         64          1.0          4.0        0.747        0.880    2.014E-08    2.373E-08         2.14        61.86
         96          1.0          4.0        0.606        0.785    1.434E-08    1.857E-08         3.23        92.77
        128          1.0          4.0        0.464        0.651    9.453E-09    1.326E-08         4.59       123.41
        160          1.0          4.0        0.324        0.494    5.625E-09    8.562E-09         7.29       152.71
        192          1.0          4.0        0.256        0.399    3.951E-09    6.175E-09        16.63       175.37
        224          1.0          4.0        0.323        0.496    5.198E-09    7.969E-09        40.43       183.57
        256          1.0          4.0        0.391        0.623    6.890E-09    1.097E-08        70.51       185.49
        288          1.0          4.0        0.421        0.704    8.013E-09    1.340E-08       101.98       186.02
        320          1.0          4.0        0.424        0.768    8.529E-09    1.546E-08       133.84       186.16
        352          1.0          4.0        0.412        0.815    8.513E-09    1.684E-08       165.78       186.22
        384          1.0          4.0        0.391        0.829    8.030E-09    1.702E-08       197.66       186.34
        416          1.0          4.0        0.368        0.877    7.222E-09    1.721E-08       229.42       186.58
        448          1.0          4.0        0.345        0.904    6.134E-09    1.610E-08       260.97       187.03
        480          1.0          4.0        0.320        0.912    4.804E-09    1.369E-08       292.26       187.74
        512          1.0          4.0        0.297        0.936    3.305E-09    1.039E-08       323.22       188.78
